"Stafford, Drew",F,BUF,70,16,18,34,0.485714286,-19,39,78,25,2,5,1,0,1,185,0.086
"Nichushkin, Valeri",F,DAL,79,14,20,34,0.430379747,20,8,86,27,2,1,0,0,2,128,0.109
"Monahan, Sean",F,CGY,75,22,12,34,0.453333333,-20,8,42,23,3,4,0,0,2,140,0.157
"Stempniak, Lee",F,CGY,73,12,22,34,0.465753425,-16,32,104,21,0,4,2,3,1,178,0.067
"Letestu, Mark",F,CLB,82,12,22,34,0.414634146,1,20,63,25,5,6,1,2,1,122,0.098
"Umberger, R.J.",F,CLB,74,18,16,34,0.45945946,-3,26,113,36,8,4,1,1,3,136,0.132
"Scheifele, Mark",F,WPG,63,13,21,34,0.53968254,9,14,63,39,1,3,0,0,2,100,0.13
"Ryder, Michael",F,NJD,82,18,16,34,0.414634146,-6,18,51,10,4,4,1,0,2,166,0.108
"Voynov, Slava",D,LAK,82,4,30,34,0.414634146,6,44,165,69,1,12,0,0,0,143,0.028
"Demers, Jason",D,SJS,75,5,29,34,0.453333333,14,30,69,107,1,8,0,1,0,105,0.048
"Sobotka, Vladimir",F,STL,61,9,24,33,0.540983607,14,72,110,28,1,6,0,1,1,102,0.088
"Stajan, Matt",F,CGY,63,14,19,33,0.523809524,-13,42,74,36,0,1,1,2,2,70,0.2
"Wilson, Colin",F,NAS,81,11,22,33,0.407407407,-1,21,49,35,2,3,0,0,3,112,0.098
"Zibanejad, Mika",F,OTT,69,16,17,33,0.47826087,-15,18,118,28,3,5,0,0,0,153,0.105
"Parenteau, P.A.",F,COL,55,14,19,33,0.6,3,30,35,16,1,2,0,0,1,110,0.127
"Hagelin, Carl",F,NYR,72,17,16,33,0.458333333,8,44,64,33,0,0,1,0,5,144,0.118
"Garrison, Jason",D,VAN,81,7,26,33,0.407407407,-5,57,58,128,4,11,1,2,1,181,0.039
"Franson, Cody",D,TOR,79,5,28,33,0.417721519,-20,30,282,111,1,17,0,0,0,115,0.043
"Johnson, Jack",D,CLB,82,5,28,33,0.402439024,-7,48,182,128,4,14,0,0,0,147,0.034
